date,close_x,volume_x,price_change,temp,dew,humidity,precip,windspeed,conditions,open,high,low,close_y,volume_y
2023-01-03,,30127.0,,9.2,6.5,83.6,0.498,13.2,Rain,19.01,19.1089,18.61,18.85,30127
2023-01-04,,55587.0,,14.7,6.5,60.4,0.002,57.3,Rain,18.92,19.49,18.92,19.3,55587
2023-01-05,,26020.0,-1.4507772020725396,13.3,7.8,69.6,3.21,38.8,"Rain, Partially cloudy",19.29,19.33,19.01,19.02,26020
2023-01-06,,30180.0,,10.2,5.8,75.6,0.0,14.8,Clear,19.28,19.57,19.0783,19.47,30180
2023-01-09,,22132.0,-0.5649717514124242,15.8,10.7,72.3,20.69,29.5,"Rain, Overcast",19.345,19.79,19.3,19.36,22132
2023-01-10,,18463.0,1.7045454545454586,13.1,7.7,70.3,3.197,22.4,"Rain, Partially cloudy",19.44,19.75,19.31,19.69,18463
2023-01-11,,26258.0,1.0157440325037959,12.0,5.4,65.0,0.002,13.0,"Rain, Partially cloudy",19.8,19.9,19.64,19.89,26258
2023-01-12,,23548.0,0.8547008547008517,14.4,1.5,47.3,0.0,42.2,Clear,19.98,20.24,19.8301,20.06,23548
2023-01-13,,22218.0,0.6480558325025143,15.6,3.1,44.9,0.0,31.4,Clear,19.94,20.19,19.89,20.19,22218
2023-01-17,,25520.0,0.3962357602773636,7.2,4.6,83.9,0.303,16.6,"Rain, Partially cloudy",20.24,20.35,20.08,20.27,25520
2023-01-18,,28414.0,,7.5,2.8,74.2,0.0,9.4,Clear,20.29,20.6,19.65,19.69,28414
2023-01-19,,19002.0,0.1015744032503818,7.0,3.6,79.1,0.009,20.7,"Rain, Partially cloudy",19.68,19.89,19.645,19.71,19002
2023-01-20,,47891.0,1.3698630136986356,7.5,3.1,74.9,0.0,12.9,Partially cloudy,19.88,20.075,19.6247,19.98,47891
2023-01-23,,42316.0,-0.7007007007007071,6.8,1.1,69.0,0.0,11.4,Clear,19.85,19.98,19.67,19.84,42316
2023-01-24,,17182.0,0.504032258064524,7.1,1.8,70.5,0.0,11.2,Clear,19.9,20.0803,19.72,19.94,17182
2023-01-25,,19899.0,0.9027081243731194,8.6,3.7,72.6,0.0,13.2,Clear,19.9,20.18,19.86,20.12,19899
2023-01-26,,57459.0,0.8946322067594492,9.5,4.0,70.6,0.0,20.7,Clear,20.21,20.645,20.04,20.3,57459
2023-01-27,,21078.0,-2.266009852216755,9.9,3.5,66.1,0.0,11.2,Clear,20.33,20.33,19.77,19.84,21078
2023-01-30,,51058.0,-0.8568548387096642,6.8,4.9,88.2,3.854,17.7,"Rain, Overcast",19.64,19.855,19.59,19.67,51058
2023-01-31,,74660.0,1.7793594306049654,8.3,3.3,71.8,0.0,14.9,Partially cloudy,19.72,20.125,19.6718,20.02,74660
2023-02-01,,47960.0,0.6493506493506551,8.0,1.7,67.2,0.0,9.4,Clear,19.97,20.33,19.9065,20.15,47960
2023-02-02,,59556.0,0.992555831265518,9.6,3.1,65.3,0.0,16.4,Clear,20.2,20.42,20.08,20.35,59556
2023-02-03,,50165.0,0.14742014742012977,11.9,3.2,57.4,0.0,13.0,Clear,20.25,20.49,20.12,20.38,50165
2023-02-06,,22084.0,-1.6683022571148176,8.1,4.5,79.1,0.298,11.1,"Rain, Partially cloudy",20.36,20.36,19.92,20.04,22084
2023-02-07,,22602.0,0.04990019960080527,8.4,3.5,72.9,0.0,16.2,Clear,20.01,20.19,19.9178,20.05,22602
2023-02-08,,18157.0,-2.244389027431415,9.7,5.0,73.8,0.0,11.0,Clear,19.89,20.04,19.55,19.6,18157
2023-02-09,,32721.0,-0.40816326530612734,11.2,6.2,72.9,0.0,11.3,Clear,19.705,19.765,19.41,19.52,32721
2023-02-10,,13710.0,0.15368852459016757,13.2,3.1,59.0,0.0,20.4,Clear,19.46,19.6,19.4,19.55,13710
2023-02-13,,32345.0,1.17647058823529,11.6,2.9,57.7,0.0,18.5,Clear,19.46,19.82,19.46,19.78,32345
2023-02-14,,21263.0,-1.3144590495450026,9.3,-0.4,53.4,0.0,38.7,Partially cloudy,19.7,19.8,19.45,19.52,21263
2023-02-15,,28530.0,0.6659836065573632,5.8,-3.1,56.0,0.0,14.8,Clear,19.39,19.9,19.23,19.65,28530
2023-02-16,,46300.0,1.0687022900763399,8.4,-5.6,40.0,0.0,13.1,Clear,19.48,19.99,19.43,19.86,46300
2023-02-17,,50989.0,0.7049345417925457,10.7,-6.2,30.7,0.0,24.1,Clear,19.95,20.04,19.6501,20.0,50989
2023-02-21,,85156.0,,12.4,1.1,48.2,0.027,42.7,Rain,19.92,20.04,18.86,18.92,85156
2023-02-22,,36877.0,1.84989429175475,6.5,-0.9,60.3,1.792,30.0,"Rain, Partially cloudy",19.0,19.5,18.917,19.27,36877
2023-02-23,,37148.0,1.193565127140639,6.3,0.4,67.6,2.554,18.2,"Rain, Partially cloudy",19.5,19.6,19.05,19.5,37148
2023-02-24,,31524.0,-0.9743589743589798,10.1,2.3,60.7,19.275,54.7,"Rain, Partially cloudy",19.25,19.56,19.17,19.31,31524
2023-02-27,,30126.0,-0.051786639047113336,10.0,4.5,69.6,0.352,24.1,"Rain, Partially cloudy",19.5,19.58,19.28,19.3,30126
2023-02-28,,81205.0,-0.4663212435233155,9.0,4.0,72.1,4.35,13.1,"Rain, Partially cloudy",19.15,19.39,19.08,19.21,81205
2023-03-01,,35532.0,1.0931806350858997,7.0,1.9,71.2,3.967,37.1,"Rain, Overcast",19.21,19.55,19.17,19.42,35532
2023-03-02,,37419.0,-0.154479917610717,7.7,0.4,61.6,0.0,13.1,Clear,19.33,19.5,19.205,19.39,37419
2023-03-03,,51886.0,1.6503352243424363,9.5,2.0,62.1,0.0,11.3,Clear,19.54,19.79,19.305,19.71,51886
2023-03-06,,34512.0,,8.5,2.5,68.2,0.0,24.1,Partially cloudy,19.79,19.79,18.94,18.97,34512
2023-03-07,,29699.0,-0.5271481286241331,8.2,2.6,69.6,0.0,16.7,Partially cloudy,19.1,19.11,18.77,18.87,29699
2023-03-08,,31507.0,,8.9,2.1,64.5,0.0,13.1,Clear,18.97,19.47,18.84,19.45,31507
2023-03-09,18.82,24484.0,,11.6,4.0,63.3,0.805,14.7,"Rain, Partially cloudy",19.5,19.5,18.81,18.82,24484
2023-03-10,18.26,60269.0,,15.9,13.0,83.3,11.651,16.7,"Rain, Overcast",18.7,19.0032,18.04,18.26,60269
2023-03-13,17.91,45544.0,-1.91675794085433,16.7,10.0,66.9,0.0,14.9,Clear,17.94,18.44,17.82,17.91,45544
2023-03-14,18.34,49445.0,,16.0,11.2,73.6,1.871,25.7,"Rain, Partially cloudy",18.29,18.58,18.195,18.34,49445
2023-03-15,18.16,37627.0,-0.9814612868047967,13.1,10.4,84.6,25.342,26.9,"Rain, Partially cloudy",18.0,18.2033,17.82,18.16,37627
2023-03-16,18.22,35064.0,0.330396475770911,12.0,8.3,79.5,0.0,13.1,Partially cloudy,17.98,18.345,17.8212,18.22,35064
