datetime,temp,dew,humidity,precip,windspeed,conditions
2023-01-01,10.3,6.5,78.5,1.379,40.5,"Rain, Partially cloudy"
2023-01-02,8.4,4.2,75.3,2.391,14.5,"Rain, Partially cloudy"
2023-01-03,9.2,6.5,83.6,0.498,13.2,Rain
2023-01-04,14.7,6.5,60.4,0.002,57.3,Rain
2023-01-05,13.3,7.8,69.6,3.21,38.8,"Rain, Partially cloudy"
2023-01-06,10.2,5.8,75.6,0.0,14.8,Clear
2023-01-07,11.8,5.1,66.6,0.0,23.9,Clear
2023-01-08,15.0,6.4,59.2,0.316,22.2,"Rain, Partially cloudy"
2023-01-09,15.8,10.7,72.3,20.69,29.5,"Rain, Overcast"
2023-01-10,13.1,7.7,70.3,3.197,22.4,"Rain, Partially cloudy"
2023-01-11,12.0,5.4,65.0,0.002,13.0,"Rain, Partially cloudy"
2023-01-12,14.4,1.5,47.3,0.0,42.2,Clear
2023-01-13,15.6,3.1,44.9,0.0,31.4,Clear
2023-01-14,12.3,8.4,77.8,4.284,17.9,"Rain, Partially cloudy"
2023-01-15,10.8,7.0,78.0,4.388,14.9,"Rain, Partially cloudy"
2023-01-16,10.7,5.3,70.1,2.732,37.3,"Rain, Partially cloudy"
2023-01-17,7.2,4.6,83.9,0.303,16.6,"Rain, Partially cloudy"
2023-01-18,7.5,2.8,74.2,0.0,9.4,Clear
2023-01-19,7.0,3.6,79.1,0.009,20.7,"Rain, Partially cloudy"
2023-01-20,7.5,3.1,74.9,0.0,12.9,Partially cloudy
2023-01-21,7.3,3.0,74.9,0.0,10.9,Clear
2023-01-22,6.5,3.2,79.7,0.0,14.8,Partially cloudy
2023-01-23,6.8,1.1,69.0,0.0,11.4,Clear
2023-01-24,7.1,1.8,70.5,0.0,11.2,Clear
2023-01-25,8.6,3.7,72.6,0.0,13.2,Clear
2023-01-26,9.5,4.0,70.6,0.0,20.7,Clear
2023-01-27,9.9,3.5,66.1,0.0,11.2,Clear
2023-01-28,9.0,4.2,72.7,0.0,13.1,Clear
2023-01-29,8.6,3.8,73.2,4.486,18.1,"Rain, Partially cloudy"
2023-01-30,6.8,4.9,88.2,3.854,17.7,"Rain, Overcast"
2023-01-31,8.3,3.3,71.8,0.0,14.9,Partially cloudy
2023-02-01,8.0,1.7,67.2,0.0,9.4,Clear
2023-02-02,9.6,3.1,65.3,0.0,16.4,Clear
2023-02-03,11.9,3.2,57.4,0.0,13.0,Clear
2023-02-04,12.1,2.9,56.3,0.0,12.9,Clear
2023-02-05,11.8,7.5,75.7,4.38,24.1,"Rain, Partially cloudy"
2023-02-06,8.1,4.5,79.1,0.298,11.1,"Rain, Partially cloudy"
2023-02-07,8.4,3.5,72.9,0.0,16.2,Clear
2023-02-08,9.7,5.0,73.8,0.0,11.0,Clear
2023-02-09,11.2,6.2,72.9,0.0,11.3,Clear
2023-02-10,13.2,3.1,59.0,0.0,20.4,Clear
2023-02-11,9.9,3.5,65.2,0.0,14.6,Partially cloudy
2023-02-12,8.8,2.6,66.1,0.0,13.2,Clear
2023-02-13,11.6,2.9,57.7,0.0,18.5,Clear
2023-02-14,9.3,-0.4,53.4,0.0,38.7,Partially cloudy
2023-02-15,5.8,-3.1,56.0,0.0,14.8,Clear
2023-02-16,8.4,-5.6,40.0,0.0,13.1,Clear
2023-02-17,10.7,-6.2,30.7,0.0,24.1,Clear
2023-02-18,10.0,-2.8,42.7,0.0,13.1,Clear
2023-02-19,10.8,-0.5,47.4,0.0,11.4,Clear
2023-02-20,12.0,1.9,52.3,0.0,20.3,Clear
2023-02-21,12.4,1.1,48.2,0.027,42.7,Rain
2023-02-22,6.5,-0.9,60.3,1.792,30.0,"Rain, Partially cloudy"
2023-02-23,6.3,0.4,67.6,2.554,18.2,"Rain, Partially cloudy"
2023-02-24,10.1,2.3,60.7,19.275,54.7,"Rain, Partially cloudy"
2023-02-25,5.3,3.2,86.9,29.081,16.5,"Rain, Overcast"
2023-02-26,8.3,3.2,71.4,0.0,13.2,Partially cloudy
2023-02-27,10.0,4.5,69.6,0.352,24.1,"Rain, Partially cloudy"
2023-02-28,9.0,4.0,72.1,4.35,13.1,"Rain, Partially cloudy"
2023-03-01,7.0,1.9,71.2,3.967,37.1,"Rain, Overcast"
2023-03-02,7.7,0.4,61.6,0.0,13.1,Clear
2023-03-03,9.5,2.0,62.1,0.0,11.3,Clear
2023-03-04,9.3,2.6,64.1,0.0,29.5,Partially cloudy
2023-03-05,10.0,4.1,67.1,0.019,29.5,"Rain, Partially cloudy"
2023-03-06,8.5,2.5,68.2,0.0,24.1,Partially cloudy
2023-03-07,8.2,2.6,69.6,0.0,16.7,Partially cloudy
2023-03-08,8.9,2.1,64.5,0.0,13.1,Clear
2023-03-09,11.6,4.0,63.3,0.805,14.7,"Rain, Partially cloudy"
2023-03-10,15.9,13.0,83.3,11.651,16.7,"Rain, Overcast"
2023-03-11,16.3,13.1,82.1,10.256,18.5,"Rain, Partially cloudy"
2023-03-12,16.0,10.5,72.3,0.0,16.7,Partially cloudy
2023-03-13,16.7,10.0,66.9,0.0,14.9,Clear
2023-03-14,16.0,11.2,73.6,1.871,25.7,"Rain, Partially cloudy"
2023-03-15,13.1,10.4,84.6,25.342,26.9,"Rain, Partially cloudy"
2023-03-16,12.0,8.3,79.5,0.0,13.1,Partially cloudy
2023-03-17,13.3,8.8,75.7,0.0,16.5,Clear
2023-03-18,15.9,4.1,53.0,0.0,37.5,Clear
2023-03-19,16.3,7.2,57.7,3.414,45.9,"Rain, Partially cloudy"
2023-03-20,14.2,9.0,71.7,0.0,18.4,Partially cloudy
2023-03-21,12.5,6.3,68.0,5.686,40.4,"Rain, Partially cloudy"
2023-03-22,10.8,5.8,72.6,0.922,16.6,"Rain, Partially cloudy"
2023-03-23,10.6,7.9,83.8,1.816,25.9,"Rain, Overcast"
2023-03-24,9.4,4.7,74.6,0.0,24.4,Partially cloudy
2023-03-25,8.5,2.5,67.1,0.0,15.0,Partially cloudy
2023-03-26,8.2,1.3,64.4,0.0,20.7,Clear
2023-03-27,11.3,-1.5,47.4,0.0,18.5,Clear
2023-03-28,14.5,-0.1,39.5,0.012,18.2,"Rain, Partially cloudy"
2023-03-29,10.7,5.9,73.8,11.411,27.6,"Rain, Overcast"
2023-03-30,10.0,5.3,74.0,0.062,23.9,"Rain, Partially cloudy"
2023-03-31,11.4,4.9,66.5,0.0,17.8,Clear
2023-04-01,12.3,6.2,68.0,0.0,11.5,Clear
2023-04-02,14.0,7.6,67.6,0.0,28.6,Partially cloudy
2023-04-03,10.4,0.1,52.0,0.0,46.4,Partially cloudy
2023-04-04,8.2,-0.9,56.7,0.0,24.4,Clear
2023-04-05,10.9,0.5,50.7,0.0,16.4,Clear
2023-04-06,13.5,3.1,53.4,0.0,15.7,Clear
2023-04-07,16.8,5.7,50.2,0.0,20.6,Partially cloudy
2023-04-08,16.1,10.2,70.1,0.0,22.4,Partially cloudy
2023-04-09,18.1,11.2,66.1,0.0,14.8,Clear
2023-04-10,21.6,12.6,59.9,0.0,16.6,Clear
2023-04-11,18.5,11.2,64.1,0.0,18.4,Clear
2023-04-12,16.0,7.8,61.0,0.0,18.3,Partially cloudy
2023-04-13,13.0,3.0,53.8,0.0,18.4,Partially cloudy
2023-04-14,14.6,2.5,46.5,0.0,13.2,Clear
2023-04-15,16.9,5.5,49.1,0.0,21.5,Clear
2023-04-16,18.1,8.5,55.3,0.0,18.3,Clear
2023-04-17,15.5,7.5,61.7,0.0,24.2,Clear
2023-04-18,12.8,4.6,59.8,0.0,26.1,Partially cloudy
2023-04-19,11.8,1.6,52.6,0.0,24.2,Partially cloudy
2023-04-20,14.5,2.5,47.1,0.003,14.8,Rain
2023-04-21,18.1,5.2,45.5,0.0,14.9,Clear
2023-04-22,21.2,8.4,45.4,0.0,18.5,Clear
2023-04-23,21.8,10.1,49.6,0.0,22.5,Clear
2023-04-24,20.7,8.9,50.9,0.0,20.7,Clear
2023-04-25,20.7,6.7,44.1,0.0,18.4,Clear
2023-04-26,23.0,7.3,38.7,0.0,24.0,Clear
2023-04-27,25.1,8.8,37.8,0.0,22.2,Clear
2023-04-28,26.8,9.5,35.6,0.0,25.7,Clear
2023-04-29,26.3,11.7,42.1,0.0,20.5,Clear
2023-04-30,24.4,9.0,41.5,0.0,29.2,Clear
2023-05-01,15.8,4.7,48.8,0.003,31.5,"Rain, Partially cloudy"
2023-05-02,14.7,4.4,51.0,0.0,25.8,Partially cloudy
2023-05-03,14.6,4.3,53.3,0.0,27.6,Partially cloudy
2023-05-04,14.2,7.3,67.5,2.752,27.4,"Rain, Partially cloudy"
2023-05-05,15.4,7.6,63.8,1.112,22.2,"Rain, Partially cloudy"
2023-05-06,15.5,6.6,57.9,0.0,20.6,Partially cloudy
2023-05-07,17.0,7.2,56.5,0.0,24.6,Partially cloudy
2023-05-08,17.5,7.5,54.4,0.0,20.7,Clear
2023-05-09,16.6,7.3,56.6,0.0,35.1,Clear
2023-05-10,17.7,6.3,49.2,0.0,28.5,Clear
2023-05-11,18.1,7.9,54.0,0.0,20.6,Clear
2023-05-12,21.7,9.7,48.0,0.0,25.5,Clear
2023-05-13,25.8,12.1,44.6,0.0,22.3,Clear
2023-05-14,28.5,8.8,32.8,0.0,31.5,Clear
2023-05-15,27.1,8.9,32.9,0.0,23.9,Clear
2023-05-16,26.7,12.3,43.3,0.0,16.4,Clear
2023-05-17,28.3,10.9,35.8,0.0,18.5,Clear
2023-05-18,27.7,9.1,35.2,0.0,22.5,Clear
2023-05-19,26.7,9.7,37.7,0.0,22.3,Clear
2023-05-20,26.7,10.3,37.9,0.0,24.1,Clear
2023-05-21,26.6,11.4,41.2,0.0,18.3,Clear
2023-05-22,28.2,10.9,36.2,0.0,20.5,Clear
2023-05-23,25.7,6.4,29.6,0.0,31.5,Clear
2023-05-24,19.6,7.6,47.4,0.0,24.6,Clear
2023-05-25,19.6,7.9,47.8,0.0,29.2,Clear
2023-05-26,20.4,9.5,50.4,0.0,20.7,Partially cloudy
2023-05-27,22.1,11.1,51.2,0.0,18.5,Clear
2023-05-28,24.1,10.1,43.7,0.0,25.8,Clear
2023-05-29,20.9,9.0,47.7,0.0,31.5,Clear
2023-05-30,19.4,9.9,54.6,0.0,22.2,Partially cloudy
2023-05-31,21.6,9.3,46.9,0.0,24.1,Partially cloudy
2023-06-01,22.1,8.0,41.9,0.0,24.1,Clear
2023-06-02,22.9,7.6,38.6,0.0,24.1,Clear
2023-06-03,25.3,9.8,39.1,0.0,20.6,Clear
2023-06-04,27.6,10.9,36.9,0.0,20.4,Clear
2023-06-05,24.0,10.1,41.7,0.0,31.4,Clear
2023-06-06,19.8,11.3,59.3,6.268,31.5,"Rain, Partially cloudy"
2023-06-07,17.9,14.2,79.7,1.963,16.6,"Rain, Partially cloudy"
2023-06-08,21.4,13.8,63.8,0.0,14.9,Partially cloudy
2023-06-09,23.7,14.0,55.9,0.0,21.4,Partially cloudy
2023-06-10,22.8,11.9,51.8,0.0,20.5,Partially cloudy
2023-06-11,22.7,10.3,47.6,0.0,27.7,Clear
2023-06-12,21.9,10.5,50.1,0.0,22.2,Clear
2023-06-13,23.4,12.7,52.0,0.0,24.1,Clear
2023-06-14,25.3,12.8,48.2,0.0,19.1,Clear
2023-06-15,26.0,13.1,46.1,0.0,24.2,Clear
2023-06-16,27.4,12.8,42.4,0.0,27.7,Clear
2023-06-17,28.6,13.1,40.8,0.0,20.6,Clear
2023-06-18,28.1,10.1,33.9,0.0,29.6,Clear
2023-06-19,21.8,6.0,38.4,0.0,22.6,Clear
2023-06-20,19.7,5.1,40.0,0.026,20.7,Rain
2023-06-21,21.5,3.7,33.3,0.0,18.7,Clear
2023-06-22,21.7,4.6,33.6,0.0,38.6,Clear
2023-06-23,20.0,8.1,47.3,0.0,21.9,Clear
2023-06-24,22.6,10.9,49.0,0.0,20.5,Clear
2023-06-25,23.1,10.4,45.7,0.0,24.2,Clear
2023-06-26,23.6,9.6,44.8,0.0,20.6,Clear
2023-06-27,25.0,8.6,37.3,0.0,20.6,Clear
2023-06-28,25.4,10.0,39.7,0.0,22.5,Clear
2023-06-29,28.1,12.3,38.8,0.0,18.4,Clear
2023-06-30,31.3,13.6,35.9,0.0,24.1,Clear
2023-07-01,33.6,15.2,34.8,0.0,22.3,Clear
2023-07-02,34.5,13.1,29.5,0.0,20.6,Clear
2023-07-03,33.2,9.8,25.5,0.0,29.4,Clear
2023-07-04,30.6,4.4,19.7,0.0,26.3,Clear
2023-07-05,28.9,4.9,22.7,0.0,22.3,Clear
2023-07-06,27.3,7.4,30.3,0.0,24.4,Clear
2023-07-07,26.9,9.8,36.9,0.0,18.5,Clear
2023-07-08,26.3,8.5,35.7,0.0,22.4,Clear
2023-07-09,25.2,8.9,38.2,0.0,18.6,Clear
2023-07-10,24.9,9.9,41.8,0.0,20.6,Clear
2023-07-11,28.6,9.3,31.6,0.0,16.7,Clear
2023-07-12,30.3,5.7,22.1,0.0,20.6,Clear
2023-07-13,29.7,8.1,27.0,0.0,22.4,Clear
2023-07-14,29.9,10.4,30.6,0.0,21.9,Clear
2023-07-15,32.5,12.4,30.5,0.0,18.5,Clear
2023-07-16,34.9,14.3,30.4,0.0,16.7,Clear
2023-07-17,35.3,8.6,19.7,0.0,27.7,Clear
2023-07-18,34.4,6.5,18.2,0.0,27.7,Clear
2023-07-19,32.6,8.8,23.6,0.0,22.3,Clear
2023-07-20,31.4,12.6,34.1,0.0,18.4,Clear
2023-07-21,32.4,12.2,31.9,0.0,18.4,Clear
2023-07-22,34.0,11.2,26.2,0.0,22.3,Clear
2023-07-23,34.9,12.8,27.9,0.0,23.8,Clear
2023-07-24,32.0,7.4,22.8,0.0,27.7,Clear
2023-07-25,30.3,11.0,32.3,0.0,16.8,Clear
2023-07-26,31.8,11.3,29.8,0.0,16.7,Clear
2023-07-27,31.1,11.1,30.8,0.0,19.8,Clear
2023-07-28,29.9,12.5,37.3,0.0,22.8,Clear
2023-07-29,30.1,10.3,32.4,0.0,21.0,Clear
2023-07-30,29.9,9.5,30.9,0.0,15.0,Clear
2023-07-31,30.8,9.1,28.7,0.0,22.1,Clear
2023-08-01,30.9,6.8,23.6,0.0,24.0,Clear
2023-08-02,27.9,4.5,23.1,0.0,18.5,Clear
2023-08-03,26.3,9.3,35.2,0.0,22.3,Clear
2023-08-04,25.7,11.9,44.4,0.0,20.6,Clear
2023-08-05,28.9,10.6,33.9,0.0,22.4,Clear
2023-08-06,30.1,10.8,31.0,0.0,20.6,Clear
2023-08-07,31.5,10.8,29.8,0.0,24.0,Clear
2023-08-08,31.4,6.3,21.1,0.0,26.0,Clear
2023-08-09,28.3,7.7,28.3,0.0,22.4,Clear
2023-08-10,25.3,11.9,43.9,0.0,20.7,Clear
2023-08-11,27.2,14.2,46.6,0.0,22.3,Clear
2023-08-12,28.7,14.3,43.5,0.0,24.0,Clear
2023-08-13,30.6,13.8,38.2,0.053,27.3,Rain
2023-08-14,32.3,13.3,33.0,0.0,22.2,Clear
2023-08-15,33.7,12.5,28.0,0.0,25.6,Clear
2023-08-16,32.7,13.8,32.3,0.0,22.2,Clear
2023-08-17,33.9,12.3,30.0,0.0,27.4,Clear
2023-08-18,31.2,6.4,21.9,0.0,24.0,Clear
2023-08-19,28.6,13.1,39.1,0.305,29.2,"Rain, Partially cloudy"
2023-08-20,22.3,19.8,86.4,27.034,20.3,"Rain, Overcast"
2023-08-21,25.1,16.9,63.5,0.339,33.1,"Rain, Partially cloudy"
2023-08-22,25.3,17.7,64.0,0.0,20.5,Partially cloudy
2023-08-23,27.9,18.9,60.5,0.0,22.0,Clear
2023-08-24,29.6,16.6,49.0,0.0,22.1,Clear
2023-08-25,27.4,12.3,40.0,0.0,24.0,Clear
2023-08-26,27.5,14.0,47.2,0.0,22.2,Clear
2023-08-27,27.7,13.0,43.1,0.0,20.9,Clear
2023-08-28,28.5,12.7,40.2,0.0,18.7,Clear
2023-08-29,29.2,12.3,38.1,0.0,20.6,Clear
2023-08-30,27.9,11.6,38.0,0.0,19.2,Clear
2023-08-31,30.0,9.3,31.1,0.0,23.9,Clear
2023-09-01,27.9,6.9,27.6,0.0,20.5,Clear
2023-09-02,24.3,14.6,55.8,0.0,27.4,Partially cloudy
2023-09-03,22.8,14.3,59.5,0.0,26.0,Partially cloudy
2023-09-04,22.3,12.7,57.0,0.0,21.4,Clear
2023-09-05,25.6,13.1,47.6,0.0,18.5,Clear
2023-09-06,26.3,12.6,44.2,0.0,14.8,Clear
2023-09-07,26.4,12.4,44.1,0.0,16.4,Clear
2023-09-08,28.0,11.5,37.4,0.0,20.4,Clear
2023-09-09,29.6,11.2,33.0,0.004,18.1,Rain
2023-09-10,28.2,14.0,42.8,0.0,14.6,Clear
2023-09-11,27.3,11.2,39.2,0.0,24.0,Clear
2023-09-12,27.0,9.3,35.2,0.0,20.5,Clear
2023-09-13,26.6,9.4,35.7,0.0,18.4,Clear
2023-09-14,27.3,10.7,36.7,0.0,22.2,Clear
2023-09-15,28.0,13.2,41.1,0.0,23.9,Clear
